# -*- mode:csv -*-
crear live usb booteable (no anduvo)	dd if=$laiso of=/dev/sdb1
crear live usb booteable	startup disk creator ## applicatin
crear cd de ido wodim -v dev=/dev/sr0 -dao /home/user/file.iso
obtener nombre etiqueta usb(sdf1 es el lugar donde esta)	sudo mlabel -i /dev/sdf1 -s ::
cambiar nombre etiqueta usb	sudo mlabel -i /dev/sdf1 ::NOMBRE
check version	lsb_release -a
boot in text mode systemd	sudo systemctl disable display-manager.service
boot in text mode	vim -M /etc/defaul/grub ## to get help
sacar "System program problem detected"	rm /var/crash/*
disable auto openning window after auto mount	gsettings set org.gnome.desktop.media-handling automount-open false
start windows after boot        sudo service lightdm start 
cread usb booteable	satartup disk creator
boot in text mode   sudo ln -sf /lib/systemd/system/multi-user.target /lib/systemd/system/default.target
see kernel threads	ps -ef
cambiar layout del teclado	su; dpkg-reconfigure keyboard-configuration
generate random string head /dev/urandom | tr -dc 0-z| head -c 8
creat  bootable cd from iso	wodim -v dev=/dev/sr0 -dao FILENAME
batery   upower -i /org/freedesktop/UPower/devices/battery_BAT1 | grep -E "state|to\ full|percentage"
montar	fdisk -l ...; mount ...
